NAME,ADDRESS,TOWN,STATE,ZIP_CODE,COUNTY,PHONE_NUMBER,LOCATION,WEBSITE,TYPE,DISPENSARY LOCATION
RISE,196 3RD AVENUE #3-C,PATERSON,NJ,07514,PASSAIC,(973) 440-2717,https://g.page/RISE-Paterson-Dispensaries?share,https://risecannabis.com/dispensaries/new-jersey/paterson/,Medicinal and Recreational,POINT (-74.141912 40.936401)
RISE,26-48 BLOOMFIELD AVE,BLOOMFIELD,NJ,07003,ESSEX,(973) 327-3442,https://goo.gl/maps/8Vr6UkY9nbJDZ99F7,https://risecannabis.com/dispensaries/new-jersey/bloomfield/,Medicinal and Recreational,POINT (-74.186788 40.77544)
"Botanist, The",100 CENTURY DRIVE,EGG HARBOR TOWNSHIP,NJ,08234,ATLANTIC,(609) 277-7547,https://goo.gl/maps/Cf2mto9t8JE7wmoD8,https://www.shopbotanist.com/locations/egg-harbor-township/,Medicinal and Recreational,POINT (-74.554995 39.41918)
Holistic Solutions LLC,451 WHITE HORSE PIKE,ATCO,NJ,08004,CAMDEN,(856) 270-7067,https://goo.gl/maps/wUZtj7yZzn3jG5Dd9,,Medicinal cannabis only,POINT (-74.89106 39.76417)
Zen Leaf,117 SPRING STREET,ELIZABETH,NJ,07201,UNION,(908) 676-5936,https://goo.gl/maps/nobBVydnqkgFHoyq5,https://zenleafdispensaries.com/locations/elizabeth/,Medicinal and Recreational,POINT (-74.206087 40.6636)
"Aunt Mary's Dispensary, LLC",100 REAVILLE AVE. SUITE 211,FLEMINGTON,NJ,08822,HUNTERDON,(908) 257-0421,https://goo.gl/maps/iUZk9uzrfXCv1fcdA,http://www.auntmarysnj.co/,Medicinal cannabis only,POINT (-74.8509 40.498)
Sweet Spot,"903 WHITE HORSE ROAD, SUITE 2",VOORHEES,NJ,08043,CAMDEN,(856) 882-3481,https://goo.gl/maps/u8AZ9WKq4toSD28P7,https://sweetspotfarms.com/store/nj001,Medicinal cannabis only,POINT (-74.98935 39.84754)
"Cannabist, The",1062 NORTH DELSEA DRIVE,VINELAND,NJ,08360,CUMBERLAND,(856) 213-9445,https://g.page/columbiacarevineland?share,https://col-care.com/location/vineland/,Medicinal and Recreational,POINT (-75.041869 39.502548)
Curaleaf,640 CREEK ROAD,BELLMAWR,NJ,08031,CAMDEN,(856) 933-8700,https://goo.gl/maps/ryTQ1JVHqu9RktKf7,https://curaleaf.com/shop/new-jersey/curaleaf-nj-bellmawr?,Medicinal and Recreational,POINT (-75.103077 39.865436)
MPX NJ,157-159 S. NEW YORK AVENUE,ATLANTIC CITY,NJ,08401,ATLANTIC,(609) 616-7770,https://goo.gl/maps/stid54TD8dUwePpG9,Medical Cannabis Dispensary - Located in Atlantic City (http://mpxnj.com),Medicinal cannabis only,POINT (-74.427559 39.358975)
Harmony Dispensary,"600 MEADOWLANDS PARKWAY, SUITE 15",SECAUCUS,NJ,07094,HUDSON,(201) 356-7268,https://g.page/harmonydispensary?share,https://www.harmonydispensary.org/,Medicinal and Recreational,POINT (-74.086556 40.77525)
Apothecarium Dispensary,55 SOUTH MAIN ST.,PHILLIPSBURG,NJ,08865,WARREN,(908) 777-7420,https://goo.gl/maps/rAD9hdJjE61SAoGe9,https://apothecariumnj.com/phillipsburg/,Medicinal and Recreational,POINT (-75.201923 40.690754)
