GEOID,NAMELSAD,BuyerLat,BuyerLong
4201704976,Bedminster township,40.4266145,-75.1882297
4201705616,Bensalem township,40.1061962,-74.9436889
4201708592,Bridgeton township,40.5528424,-75.1217232
4201708760,Bristol borough,40.1027669,-74.8523467
4201708768,Bristol township,40.1236377,-74.8673846
4201709816,Buckingham township,40.3156548,-75.063721
4201712504,Chalfont borough,40.288978,-75.209591
4201719784,Doylestown borough,40.3141965,-75.1276974
4201719792,Doylestown township,40.297831,-75.140447
4201720104,Dublin borough,40.3769203,-75.2059483
4201720480,Durham township,40.5733314,-75.2175957
4201721760,East Rockhill township,40.4086413,-75.2901918
4201725112,Falls township,40.1726788,-74.7897378
4201733224,Haycock township,40.4721045,-75.2427174
4201734952,Hilltown township,40.3428264,-75.2527821
4201736192,Hulmeville borough,40.1432771,-74.9069441
4201737304,Ivyland borough,40.2079575,-75.0734919
4201741392,Langhorne borough,40.1774525,-74.9234165
4201741416,Langhorne Manor borough,40.165957,-74.9182532
4201744968,Lower Makefield township,40.2316187,-74.8555841
4201745112,Lower Southampton township,40.1548123,-74.9896526
4201749120,Middletown township,40.1795056,-74.9068628
4201749384,Milford township,40.4318145,-75.4163926
4201751144,Morrisville borough,40.207644,-74.7802694
4201753296,New Britain borough,40.2995515,-75.1780931
4201753304,New Britain township,40.3068874,-75.2072999
4201753712,New Hope borough,40.3613581,-74.9567959
4201754184,Newtown borough,40.2283443,-74.9322926
4201754192,Newtown township,40.2445061,-74.9384852
4201754576,Nockamixon township,40.5185693,-75.1741696
4201754688,Northampton township,40.2103232,-75.0003401
4201758936,Penndel borough,40.1551657,-74.9146547
4201759384,Perkasie borough,40.3717368,-75.2927724
4201761616,Plumstead township,40.3837689,-75.1156171
4201763048,Quakertown borough,40.4396784,-75.3457655
4201764536,Richland township,40.4591823,-75.3474028
4201764584,Richlandtown borough,40.4725301,-75.3211576
4201764856,Riegelsville borough,40.5954209,-75.1974828
4201769248,Sellersville borough,40.3605402,-75.306872
4201770744,Silverdale borough,40.346684,-75.2711384
4201771752,Solebury township,40.3675348,-75.0100998
4201773016,Springfield township,40.5276072,-75.301498
4201776304,Telford borough,40.3292857,-75.3232745
4201776784,Tinicum township,40.4858087,-75.0964192
4201777704,Trumbauersville borough,40.4134259,-75.3774539
4201777744,Tullytown borough,40.1408431,-74.8109955
4201779128,Upper Makefield township,40.2959884,-74.9332019
4201779296,Upper Southampton township,40.1739928,-75.0323871
4201780952,Warminster township,40.202711,-75.0889556
4201781048,Warrington township,40.2490148,-75.1589404
4201781144,Warwick township,40.2493844,-75.0831916
4201783960,West Rockhill township,40.3657424,-75.3458267
4201786624,Wrightstown township,40.2728211,-75.0074078
4201786920,Yardley borough,40.2402926,-74.8389341
4209100156,Abington township,40.1135848,-75.114238
4209102264,Ambler borough,40.1563851,-75.2215317
4209108568,Bridgeport borough,40.1040719,-75.3435504
4209109696,Bryn Athyn borough,40.1410673,-75.0674011
4209112968,Cheltenham township,40.0792357,-75.1404991
4209115192,Collegeville borough,40.1868645,-75.4575192
4209115848,Conshohocken borough,40.077219,-75.3041005
4209119672,Douglass township,40.3425068,-75.5950758
4209121200,East Greenville borough,40.4057196,-75.5059597
4209121600,East Norriton township,40.1521147,-75.3356201
4209127280,Franconia township,40.3041168,-75.3585901
4209131088,Green Lane borough,40.3366483,-75.4717524
4209133088,Hatboro borough,40.1774401,-75.105504
4209133112,Hatfield borough,40.2770945,-75.2988719
4209133120,Hatfield township,40.277155,-75.2895785
4209135808,Horsham township,40.1992818,-75.1664563
4209138000,Jenkintown borough,40.0962794,-75.129623
4209141432,Lansdale borough,40.2416541,-75.2812079
4209143312,Limerick township,40.2326975,-75.5329854
4209144912,Lower Frederick township,40.2826331,-75.4869291
4209144920,Lower Gwynedd township,40.1888008,-75.2383996
4209144976,Lower Merion township,40.0299063,-75.2789689
4209145008,Lower Moreland township,40.120608,-75.07486
4209145072,Lower Pottsgrove township,40.2504629,-75.5949129
4209145080,Lower Providence township,40.1485951,-75.4164298
4209145096,Lower Salford township,40.2633065,-75.3958765
4209147592,Marlborough township,40.3610256,-75.4510505
4209150640,Montgomery township,40.2440537,-75.2340936
4209152664,Narberth borough,40.0076767,-75.2634506
4209153664,New Hanover township,40.3123816,-75.5636761
4209154656,Norristown borough,40.122076,-75.3398696
4209155512,North Wales borough,40.2111712,-75.2744412
4209159120,Pennsburg borough,40.3933927,-75.4952972
4209159392,Perkiomen township,40.2319596,-75.4649481
4209161664,Plymouth township,40.1124602,-75.2955233
4209162416,Pottstown borough,40.2509241,-75.6447544
4209163808,Red Hill borough,40.3770782,-75.4838097
4209165568,Rockledge borough,40.0822195,-75.0898062
4209166576,Royersford borough,40.1863257,-75.5388848
4209167528,Salford township,40.3370583,-75.3977112
4209168328,Schwenksville borough,40.2578591,-75.4657242
4209171016,Skippack township,40.2166573,-75.4191299
4209171856,Souderton borough,40.3110021,-75.3223509
4209173088,Springfield township,40.0991171,-75.2002448
4209176304,Telford borough,40.3227551,-75.3308291
4209177152,Towamencin township,40.2417219,-75.3386911
4209177304,Trappe borough,40.199095,-75.4753786
4209179008,Upper Dublin township,40.1513407,-75.1799989
4209179040,Upper Frederick township,40.3107258,-75.5074391
4209179056,Upper Gwynedd township,40.2075482,-75.2890705
4209179064,Upper Hanover township,40.3881572,-75.5106738
4209179136,Upper Merion township,40.0897221,-75.3808316
4209179176,Upper Moreland township,40.1573623,-75.104279
